hseb_code,school_code
688,60270049
686,60230012
602,60240004
471,40120040
450,40440018
422,40010013
326,30300006
8025,40150010
7971,270200007
7414,740400001
5417,540230005
5047,500430012
409,40010007
2565,250230011
8041,40110011
8027,40480014
7967,270230015
7964,270310302
7729,270400004
7694,270310508
7661,270310231
7618,270310872
7325,730030008
7267,720020007
7191,710010033
7032,700310005
6824,680130009
6718,670070003
6305,630050001
5964,590480010
5662,560070017
5050,500740004
4868,480020002
4841,480060023
4558,450310035
4304,430020013
4075,400320044
3940,390040001
3132,310080009
3126,310200056
3047,300060005
2911,290010008
2855,280460010
2624,260060006
2595,250330003
2443,240050002
2404,240630006
2123,210110001
1842,180340002
1721,170480009
1711,170100439
1512,150970012
1501,150520002
1442,140020002
1120,110160007
915,90130037
818,80030004
699,60270064
489,40010042
469,40240007
421,40370035
221,20160002
7923,270310142
7438,740100002
7195,710420065
5659,560390023
4317,430020005
3485,340330003
8358,50300003
8119,250190007
7945,270310260
7821,270310590
7711,270260005
7605,270220047
7407,740180001
7242,720050001
6831,680010008
6808,680030006
5901,590090005
5824,580230002
5519,550040006
5125,510030006
4920,490140050
4775,470530010
3912,390020011
3720,370020005
3475,340010001
3352,330750023
3106,310200023
3046,300050010
3024,300090007
3017,300040009
3014,300040011
2857,280040011
2854,280350004
2846,280300005
2838,280240004
2804,280610001
2341,230380007
2325,230170006
2308,230360005
2246,220140007
2103,210490005
1201,120050001
1024,100620005
1014,100470002
607,60270023
555,50300001
445,40350009
236,20010003
664,60180071
7970,270310174
7871,270210010
7268,720130014
6302,630040013
6049,600230007
5821,580010001
4955,490090002
3933,390020004
2605,260120015
2329,230140011
1658,160070006
1551,150970018
1220,120240007
327,30070028
8048,40010001
7922,270310200
7903,270160013
7710,270310319
7609,270310223
7424,740160017
7305,730030025
6701,670210010
6101,610130009
5976,590090008
5966,590070046
5841,580010004
5401,540060010
4905,490140016
3059,300080003
2623,260030100
1449,140430007
737,70200006
690,60040005
485,40070011
7836,270380035
7769,270140003
465,40370027
8511,350050048
8243,400320144
8006,40130012
7984,270310438
7908,270310626
7829,270310608
7797,270310205
7752,270080003
7744,270060014
7643,270220005
7439,740100004
7411,740230003
7272,720060013
7157,710210008
7150,710400016
6927,690030003
6923,690040003
6910,690230004
6840,680030003
6708,670180001
6439,640010006
5839,580080012
5630,560040013
5619,560400028
5528,550090004
5518,550080003
5201,520020004
5041,500380003
4986,490140025
4929,490670007
4769,470620010
4745,470530005
4639,460030001
3951,390190003
3479,340680003
3469,340200029
3025,300170010
3021,300160001
3004,300340015
2906,290070001
2841,280080026
2778,270310230
2776,270310969
2711,270310716
2462,240820008
2406,240660013
2316,230720004
2143,210120003
2140,210140005
2060,200180012
2035,200250062
1949,190170002
1906,190430004
1750,170310008
1744,170100420
1718,170100432
1653,160030002
1433,140120001
1335,130590003
1312,130490001
1239,120120001
1103,110300015
1033,100290006
1019,100520005
906,90130027
813,80060002
721,70150034
705,70150016
687,60120025
606,60270012
544,50140059
522,50580016
107,10090003
7134,710060009
3358,330340012
8250,400320078
8016,40110009
7869,270310428
7766,270310645
7690,270080018
7422,740100003
7321,730150001
7315,730030011
7302,730010003
7245,720080002
7141,710100070
6125,610010005
6032,600500001
5828,580070001
4907,490630025
4889,480620004
3319,330520018
3042,300420008
2790,270310871
2787,270310225
2761,270310965
2059,200110006
1770,170140445
1760,170100373
1673,160030006
926,90130053
808,80030003
319,30010008
8429,490040003
8005,40290010
7957,270280027
7811,270310617
7771,270080054
7707,270310336
7409,740090004
5010,500260008
5001,500100003
4932,490620011
4805,480050250
3429,340200057
2345,230080008
1420,140010011
655,60180058
130,10010005
8510,350320013
7830,270310135
7768,270280030
7666,270220019
7656,270300005
7613,270310662
7512,750370003
7405,740600001
7330,730030023
7216,720110002
7033,700290004
6411,640230007
5825,580070010
5680,560270006
5643,560010001
5217,520030002
4845,480380013
3061,300070007
3034,300290015
2823,280140003
2632,260090008
2065,200030002
2058,200250033
2013,200030009
1828,180500004
1104,110310004
919,90130015
671,60100003
516,50090009
449,40120016
418,40030036
7022,700130025
3480,340110004
2744,270310424
8350,50280016
8052,40120015
8045,40070002
7985,270280029
7963,270230021
7951,270560001
7833,270310219
7740,270240024
7708,270310436
7518,750020002
7510,750020001
7449,740210002
7314,730020012
7180,710420029
7014,700100004
6429,640040005
5977,590220011
5945,590070060
5826,580030001
5326,530170003
4909,490630032
4816,480120527
4751,470260003
4663,460500006
4626,460490004
4425,440060001
4309,430010002
4029,400320129
4022,400320169
3726,370070009
3128,310040001
3123,310060005
2856,280230006
2718,270310630
2476,240650028
2432,240760005
2340,230060012
2337,230020005
2213,220040017
2014,200250045
1724,170330005
1436,140410025
1236,120330006
692,60270056
593,50050009
458,40040006
411,40440006
339,30040009
305,30450004
237,20200005
116,10100008
102,10380003
8710,710100019
7839,270310558
7782,270310182
7750,270280056
6903,690240006
6713,670270005
6042,600350028
5765,570010001
5524,550110003
5517,550020006
5432,540060008
4402,440540006
4057,400220053
3138,310290006
2635,260030023
2453,240230017
1978,190220001
1742,170580002
620,60180062
8106,250270034
7464,740270003
7451,740020004
6826,680330006
5943,590480033
5436,540040011
3713,370210010
2812,280130010
2503,250270140
2363,230040006
2220,220370001
1971,190330002
530,50280011
8348,50360012
7765,270310442
7751,270310847
7502,750150001
7501,750220008
5775,570010011
3114,310200018
2853,280040010
2750,270310926
2229,220250008
1977,190110006
1431,140070004
3727,370120008
8518,350010010
8513,350050021
8443,490630012
8042,40170011
7804,270310927
7673,270220032
7627,270080011
7413,740520004
7251,720080016
7155,710230026
7001,700040003
6010,600110005
