hseb_code,school_code
2242,220340008
2243,220120002
2244,220040005
2245,220190002
2246,220140007
2247,220040036
6201,620210002
6207,620210002
6202,620100002
6203,620050004
6204,620200002
6205,620230008
7001,700040003
7002,700190001
7005,700350005
7006,700240005
7028,700240005
7009,700080010
7011,700010002
7026,700010002
7014,700100004
7016,700030015
7018,700130005
7022,700130025
7029,700110006
7032,700310005
7033,700290004
7034,700360001
7035,700150006
3608,360110008
3610,360500019
3615,360240004
3619,360290004
3631,360060004
3646,360110007
3658,360190002
3661,360310010
4602,460540005
4604,460070007
4607,460740008
4610,460060005
4611,460410004
4612,460030004
4647,460030004
4614,460190001
4617,460040007
4627,460040007
4618,460240004
4621,460220009
4622,460550002
4623,460110006
4626,460490004
4628,460300007
4629,460760002
4630,460260005
4632,460320007
4633,460480004
4635,460540007
4636,460010003
4637,460590006
4639,460030001
4640,460240007
4643,460400001
4645,460230003
4658,460280002
4663,460500006
6602,660210004
6605,660050005
6606,660080001
6610,660040003
304,30200008
305,30450004
306,30050005
310,30030001
311,30010008
319,30010008
314,30140005
315,30340001
316,30210001
317,30090004
318,30020008
320,30020008
325,30020008
321,30040009
339,30040009
322,30050004
323,30410008
324,30020012
326,30300006
327,30070028
329,30160004
330,30060018
332,30130001
334,30340006
335,30140009
337,30270005
340,30060004
342,30340024
343,30150027
347,30340017
6101,610130009
6102,610040003
6104,610050006
6105,610020001
6107,610020001
6108,610080007
6109,610120009
6110,610160009
6111,610040011
6115,610290002
6117,610200003
6118,610040006
6119,610140001
6122,610200014
6123,610060009
6124,610010005
6125,610010005
6126,610070009
6127,610070015
6128,610020006
6129,610040007
405,40010033
409,40010007
411,40440006
413,40070001
414,40100021
428,40100021
437,40100021
415,40200009
416,40430012
418,40030036
8053,40030036
420,40110015
421,40370035
422,40010013
424,40420005
427,40070015
430,40020003
8013,40020003
8034,40020003
431,40090001
443,40090001
463,40090001
433,40100013
434,40220006
439,40190006
440,40010018
460,40010018
441,40230001
480,40230001
442,40010001
8048,40010001
444,40380002
491,40380002
445,40350009
447,40020005
459,40020005
479,40020005
448,40370033
449,40120016
450,40440018
452,40100009
455,40100009
453,40030010
8028,40030010
8043,40030010
454,40120010
495,40120010
457,40030015
458,40040006
462,40250008
8038,40250008
465,40370027
466,40010012
468,40100001
469,40240007
470,40140004
471,40120040
473,40330014
474,40090006
475,40370019
476,40450007
478,40010021
481,40470005
482,40100005
483,40120025
8017,40120025
484,40150003
485,40070011
486,40010009
487,40150001
488,40010017
489,40010042
490,40130002
8036,40130002
493,40350007
494,40080009
8029,40080009
496,40120011
497,40260003
8003,40220001
8032,40220001
8004,40010008
8005,40290010
8006,40130012
8007,40180005
8008,40020014
8009,40340005
8011,40450001
8019,40060010
8025,40150010
8016,40110009
8027,40480014
8030,40500008
8031,40100016
8033,40500028
8035,40010016
8037,40110004
8041,40110011
8042,40170011
8045,40070002
8046,40110003
8047,40060002
8052,40120015
8056,40060003
6302,630040013
6304,630300003
6305,630050001
6306,630020003
6309,630070007
6310,630170002
6311,630070001
6321,630070001
6313,630040002
6314,630270008
6318,630140007
6322,630010002
7108,710010016
7131,710010016
7170,710010016
7109,710070005
7167,710070005
7177,710070005
7110,710010031
7112,710040004
7139,710040004
7156,710040004
7159,710040004
7115,710040002
8705,710040002
7119,710100060
7120,710100018
7123,710070009
7124,710010012
7185,710010012
7130,710010010
7134,710060009
7135,710120013
7137,710100013
7141,710100070
7145,710100030
7150,710400016
7152,710100052
7154,710440009
7155,710230026
7157,710210008
7169,710090002
7172,710090017
7173,710100043
7180,710420029
7182,710070029
7189,710140016
7190,710230008
7191,710010033
7195,710420065
8702,710380012
8703,710300010
8710,710100019
8714,710420008
8716,710100058
6401,640150005
6407,640150005
6404,640100004
6431,640100004
6406,640060005
6413,640060005
6430,640060005
6408,640020001
6420,640020001
6426,640020001
6409,640020006
6410,640040005
6424,640040005
6425,640040005
6429,640040005
6411,640230007
6412,640120002
6415,640140018
6417,640150009
6421,640150009
6418,640150011
6423,640160003
6427,640170002
6433,640260007
6434,640300001
6435,640190004
6438,640180005
6439,640010006
7203,720070005
7252,720070005
7205,720070001
7207,720110142
7209,720040003
7211,720200004
7213,720110094
7229,720110094
7214,720020007
7258,720020007
7267,720020007
7216,720110002
7219,720090004
7220,720100001
7228,720100001
7221,720190003
7222,720190001
7224,720090003
7262,720090003
7225,720100010
7227,720040001
7231,720110008
7233,720110025
7241,720110109
7242,720050001
7245,720080002
7249,720120001
7251,720080016
7256,720160001
7257,720110087
7259,720140007
7261,720110064
7268,720130014
7272,720060013
7278,720020005
7288,720020005
7281,720110077
5001,500100003
5005,500100003
5002,500690007
5004,500060003
5007,500060013
5020,500060013
5010,500260008
5011,500060009
5014,500300003
5017,500380005
5021,500340006
5023,500400012
5026,500010002
5027,500420008
5031,500180002
5041,500380003
5047,500430012
5050,500740004
5045,500420013
5046,500340014
5053,500150019
4001,400320149
4005,400320096
4009,400110001
4015,400420005
4022,400320169
4025,400140013
4029,400320129
